coin,fundingRate,premium,time
HYPE,1.25e-05,0.000461891,1741237200043
HYPE,1.25e-05,0.0002810604,1741240800041
HYPE,1.25e-05,0.000281539,1741244400085
HYPE,1.25e-05,5.74175e-05,1741248000022
HYPE,1.25e-05,0.0001062871,1741251600027
HYPE,1.25e-05,4.02023e-05,1741255200037
HYPE,1.25e-05,-0.0001464639,1741258800128
HYPE,1.25e-05,-0.000228496,1741262400025
HYPE,1.25e-05,0.0002408925,1741266000132
HYPE,1.25e-05,0.0005001255,1741269600004
HYPE,4.72324e-05,0.0008778595,1741273200016
HYPE,1.25e-05,0.0004474321,1741276800026
HYPE,2.98079e-05,0.0007384633,1741280400008
HYPE,1.81362e-05,0.0006450897,1741284000109
HYPE,4.00632e-05,0.0008205056,1741287600005
HYPE,5.80267e-05,0.0009642134,1741291200031
HYPE,1.91816e-05,0.0006534526,1741294800034
HYPE,8.97632e-05,0.0012181057,1741298400012
HYPE,1.25e-05,0.0002672072,1741302000018
HYPE,1.25e-05,0.0003227928,1741305600126
HYPE,1.25e-05,-0.0002529347,1741309200001
HYPE,1.25e-05,0.0004408714,1741312800013
HYPE,1.25e-05,0.0003994603,1741316400032
HYPE,1.65338e-05,0.0006322704,1741320000061
HYPE,1.25e-05,0.0005621879,1741323600050
HYPE,1.25e-05,0.0001453145,1741327200031
HYPE,1.25e-05,1.92956e-05,1741330800030
HYPE,1.25e-05,-0.0001632282,1741334400033
HYPE,1.25e-05,0.0003784605,1741338000011
HYPE,3.29325e-05,0.0007634598,1741341600029
HYPE,1.60141e-05,0.0006281127,1741345200015
HYPE,1.25e-05,0.0004008971,1741348800014
HYPE,1.25e-05,0.0003665974,1741352400209
HYPE,2.53866e-05,0.0007030927,1741356000047
HYPE,5.14538e-05,0.0009116307,1741359600037
HYPE,1.25e-05,6.37103e-05,1741363200060
HYPE,1.25e-05,1.35354e-05,1741366800119
HYPE,1.25e-05,0.0005786287,1741370400136
HYPE,6.21201e-05,0.0009969605,1741374000024
HYPE,1.25e-05,0.0004089497,1741377600030
HYPE,1.25e-05,8.56456e-05,1741381200112
HYPE,1.25e-05,-4.74564e-05,1741384800109
HYPE,1.25e-05,-0.0001193896,1741388400043
HYPE,1.25e-05,-0.000170263,1741392000069
HYPE,3.2564e-06,-0.0004739486,1741395600015
HYPE,1.25e-05,0.0005077503,1741399200090
HYPE,1.25e-05,0.0005250613,1741402800072
HYPE,1.25e-05,0.00050569,1741406400120
HYPE,1.25e-05,0.0004582218,1741410000017
HYPE,1.25e-05,0.0002249727,1741413600027
HYPE,1.25e-05,0.0005283773,1741417200163
HYPE,1.25e-05,0.0005703005,1741420800115
HYPE,4.49197e-05,0.0008593577,1741424400028
HYPE,1.86048e-05,0.0006488383,1741428000095
HYPE,4.98663e-05,0.0008989302,1741431600204
HYPE,1.25e-05,0.0004778778,1741435200039
HYPE,1.25e-05,0.0001568075,1741438800056
HYPE,1.25e-05,0.0005857804,1741442400029
HYPE,1.25e-05,0.0005941473,1741446000027
HYPE,2.98184e-05,0.0007385471,1741449600062
HYPE,1.25e-05,0.0002025758,1741453200012
HYPE,1.25e-05,0.0001955293,1741456800081
HYPE,1.25e-05,-5.70554e-05,1741460400051
HYPE,1.25e-05,0.0003118741,1741464000004
HYPE,1.25e-05,0.0005090786,1741467600032
HYPE,1.25e-05,0.0004315537,1741471200066
HYPE,1.25e-05,0.0001018098,1741474800046
HYPE,2.79575e-05,0.00072366,1741478400011
HYPE,1.25e-05,0.0002220279,1741482000102
HYPE,1.25e-05,0.000125334,1741485600136
HYPE,1.25e-05,0.0002699846,1741489200034
HYPE,1.25e-05,0.0002547094,1741492800028
HYPE,1.25e-05,0.0003215103,1741496400046
HYPE,1.25e-05,0.0003434541,1741500000063
HYPE,1.25e-05,0.0003309245,1741503600092
HYPE,1.25e-05,0.0005380994,1741507200012
HYPE,2.24375e-05,0.0006794996,1741510800030
HYPE,3.45978e-05,0.0007767821,1741514400069
HYPE,1.83467e-05,0.0006467734,1741518000053
HYPE,6.58801e-05,0.0010270405,1741521600119
HYPE,8.83942e-05,0.0012071534,1741525200060
HYPE,4.27949e-05,0.0008423595,1741528800060
HYPE,4.05877e-05,0.0008247015,1741532400014
HYPE,3.78024e-05,0.0008024194,1741536000003
HYPE,1.25e-05,0.0005784523,1741539600099
HYPE,1.25e-05,0.0005881023,1741543200029
HYPE,1.25e-05,0.0003733071,1741546800021
HYPE,3.41565e-05,0.0007732524,1741550400082
HYPE,3.01277e-05,0.000741022,1741554000052
HYPE,4.24311e-05,0.000839449,1741557600039
HYPE,0.0001103236,0.0013825884,1741561200026
HYPE,5.10623e-05,0.0009084988,1741564800002
HYPE,2.93951e-05,0.0007351608,1741568400113
HYPE,1.25e-05,0.0004245366,1741572000092
HYPE,1.25e-05,0.0005084028,1741575600091
HYPE,1.25e-05,0.0004091922,1741579200071
HYPE,7.15406e-05,0.0010723251,1741582800073
HYPE,9.3772e-05,0.0012501763,1741586400050
HYPE,4.05782e-05,0.0008246253,1741590000004
HYPE,1.25e-05,0.0005715036,1741593600009
HYPE,1.25e-05,0.0002050817,1741597200107
HYPE,4.69736e-05,0.0008757884,1741600800006
HYPE,4.93797e-05,0.0008950378,1741604400001
HYPE,1.25e-05,0.0005708017,1741608000027
HYPE,1.25e-05,0.0004121972,1741611600084
HYPE,1.25e-05,2.28371e-05,1741615200028
HYPE,1.25e-05,0.0002154262,1741618800027
HYPE,1.25e-05,0.0005960016,1741622400008
HYPE,3.56374e-05,0.000785099,1741626000026
HYPE,1.25e-05,0.0003965131,1741629600015
HYPE,4.1191e-05,0.0008295279,1741633200046
HYPE,0.0001154638,0.0014237106,1741636800020
HYPE,9.69171e-05,0.0012753364,1741640400045
HYPE,6.63641e-05,0.001030913,1741644000028
HYPE,6.65768e-05,0.0010326147,1741647600061
HYPE,0.000101165,0.0013093203,1741651200077
HYPE,0.0001355987,0.0015847896,1741654800027
HYPE,1.57528e-05,0.0006260225,1741658400066
HYPE,1.25e-05,0.0004672536,1741662000054
HYPE,1.79008e-05,0.0006432066,1741665600023
HYPE,4.54437e-05,0.0008635499,1741669200054
HYPE,1.25e-05,0.0005577582,1741672800068
HYPE,1.25e-05,0.0003029997,1741676400184
HYPE,1.25e-05,0.0002683659,1741680000011
HYPE,1.25e-05,6.76355e-05,1741683600057
HYPE,1.25e-05,3.11856e-05,1741687200039
HYPE,6.9232e-05,0.0010538558,1741690800089
HYPE,7.78714e-05,0.0011229715,1741694400067
HYPE,1.25e-05,0.0002211638,1741698000040
HYPE,5.49671e-05,0.000939737,1741701600099
HYPE,1.25e-05,0.0005031924,1741705200013
HYPE,5.26285e-05,0.0009210277,1741708800069
HYPE,1.25e-05,0.000493236,1741712400006
HYPE,2.14897e-05,0.0006719175,1741716000016
HYPE,4.88903e-05,0.0008911223,1741719600051
HYPE,1.25e-05,0.0001041159,1741723200037
HYPE,1.25e-05,0.0003933289,1741726800002
HYPE,1.25e-05,0.0001167731,1741730400078
HYPE,1.25e-05,-0.0001039394,1741734000033
HYPE,1.25e-05,0.0001791246,1741737600020
HYPE,1.25e-05,0.0005413103,1741741200065
HYPE,1.25e-05,0.000577428,1741744800179
HYPE,1.25e-05,6.4855e-05,1741748400036
HYPE,1.25e-05,5.02788e-05,1741752000055
HYPE,1.25e-05,0.0002386862,1741755600079
HYPE,1.25e-05,9.76657e-05,1741759200068
HYPE,1.25e-05,0.0004674676,1741762800010
HYPE,1.25e-05,0.000477993,1741766400024
HYPE,1.25e-05,0.0005653255,1741770000015
HYPE,3.04281e-05,0.0007434247,1741773600084
HYPE,4.95119e-05,0.0008960952,1741777200015
HYPE,4.114e-05,0.0008291198,1741780800005
HYPE,8.05485e-05,0.001144388,1741784400015
HYPE,3.26097e-05,0.0007608773,1741788000004
HYPE,2.65741e-05,0.0007125925,1741791600059
HYPE,2.6354e-05,0.0007108317,1741795200030
HYPE,1.25e-05,0.0005962572,1741798800053
HYPE,5.04745e-05,0.0009037958,1741802400072
HYPE,4.1516e-05,0.0008321276,1741806000036
HYPE,1.25e-05,0.0004394953,1741809600036
HYPE,3.87521e-05,0.0008100172,1741813200048
HYPE,1.25e-05,0.0004793366,1741816800016
HYPE,1.25e-05,0.0004083214,1741820400075
HYPE,4.81856e-05,0.0008854844,1741824000013
HYPE,2.75355e-05,0.0007202843,1741827600039
HYPE,1.41491e-05,0.000613193,1741831200048
HYPE,1.25e-05,0.0005493894,1741834800035
HYPE,1.25e-05,0.0003374402,1741838400066
HYPE,1.25e-05,0.0003378652,1741842000085
HYPE,1.25e-05,0.0004252664,1741845600030
HYPE,5.85127e-05,0.0009681016,1741849200042
HYPE,1.25e-05,0.0004500869,1741852800115
HYPE,7.49727e-05,0.0010997816,1741856400044
HYPE,3.66708e-05,0.0007933666,1741860000009
HYPE,4.24268e-05,0.0008394147,1741863600118
HYPE,1.25e-05,0.0004950588,1741867200071
HYPE,5.60294e-05,0.0009482355,1741870800051
HYPE,1.25e-05,0.0004513535,1741874400116
HYPE,3.5412e-05,0.0007832958,1741878000109
HYPE,1.25e-05,0.0005947456,1741881600086
HYPE,1.83319e-05,0.0006466551,1741885200026
HYPE,3.09207e-05,0.0007473652,1741888800028
HYPE,2.00435e-05,0.000660348,1741892400005
HYPE,1.28339e-05,0.0006026709,1741896000082
HYPE,1.25e-05,0.0002951716,1741899600004
HYPE,3.14911e-05,0.0007519288,1741903200060
HYPE,1.25e-05,0.000547041,1741906800025
HYPE,1.25e-05,0.0005030617,1741910400047
HYPE,1.25e-05,0.0005764384,1741914000000
HYPE,1.25e-05,0.000224785,1741917600083
HYPE,1.25e-05,0.0001241976,1741921200044
HYPE,1.25e-05,3.24717e-05,1741924800062
HYPE,1.25e-05,-0.0001523427,1741928400065
HYPE,1.25e-05,6.04889e-05,1741932000044
HYPE,1.34147e-05,0.0006073173,1741935600003
HYPE,1.25e-05,0.0002099915,1741939200059
HYPE,1.25e-05,-0.0002872865,1741942800006
HYPE,1.25e-05,-0.0001323221,1741946400088
HYPE,1.25e-05,6.45144e-05,1741950000010
HYPE,1.25e-05,0.0001295966,1741953600027
HYPE,1.25e-05,-0.0001350378,1741957200043
HYPE,1.25e-05,-0.0002794273,1741960800131
HYPE,1.25e-05,-0.0002632045,1741964400031
HYPE,1.25e-05,-0.0002942389,1741968000062
HYPE,1.25e-05,-0.0002320307,1741971600062
HYPE,1.25e-05,0.0001516938,1741975200178
HYPE,1.25e-05,1.81785e-05,1741978800049
HYPE,1.25e-05,-0.0002615363,1741982400078
HYPE,1.25e-05,-0.0002304707,1741986000053
HYPE,1.25e-05,-0.000103535,1741989600049
HYPE,1.25e-05,0.0001091462,1741993200000
HYPE,1.25e-05,-1.78409e-05,1741996800046
HYPE,1.25e-05,-9.94835e-05,1742000400029
HYPE,1.25e-05,-0.0001234174,1742004000017
HYPE,1.25e-05,9.96914e-05,1742007600076
